№,Код (Префикс),Название филиала,Подсеть,Касса 1 (201),Касса 2 (202),Касса 3 (203),Касса 4 (204),Касса 5 (205),Упаковка (228),Другие устройства
1,OL001RE,Oqtepa Maydoni,192.168.118,192.168.118.201,192.168.118.202,192.168.118.203,192.168.118.204,192.168.118.205,192.168.118.228,
2,OL002SS,Cho'pon ota,192.168.119,192.168.119.201,192.168.119.202,192.168.119.203,192.168.119.204,192.168.119.205,192.168.119.228,
3,OL003SS,Qutbiniso,192.168.121,192.168.121.201,192.168.121.202,192.168.121.203,192.168.121.204,192.168.121.205,192.168.121.228,
4,OL004SS,Gulzor,192.168.122,192.168.122.201,192.168.122.202,192.168.122.203,192.168.122.204,192.168.122.205,192.168.122.228,
5,OL005SS,Vatan,192.168.120,192.168.120.201,192.168.120.202,192.168.120.203,192.168.120.204,192.168.120.205,192.168.120.228,
6,OL006RE,Chorsu,192.168.132,192.168.132.201,192.168.132.202,192.168.132.203,192.168.132.204,192.168.132.205,192.168.132.228,
7,OL007RE,Qoraqamish,192.168.123,192.168.123.201,192.168.123.202,192.168.123.203,192.168.123.204,192.168.123.205,192.168.123.228,
8,OL008SS,Xadra,192.168.115,192.168.115.201,192.168.115.202,192.168.115.203,192.168.115.204,192.168.115.205,192.168.115.228,
9,OL009SS,Chilonzor metro,192.168.124,192.168.124.201,192.168.124.202,192.168.124.203,192.168.124.204,192.168.124.205,192.168.124.228,
10,OL010RE,Universam,192.168.134,192.168.134.201,192.168.134.202,192.168.134.203,192.168.134.204,192.168.134.205,192.168.134.228,
11,OL011RE,ToshMI,192.168.117,192.168.117.201,192.168.117.202,192.168.117.203,192.168.117.204,192.168.117.205,192.168.117.228,
12,OL012RE,Sergeli 8,192.168.148,192.168.148.201,192.168.148.202,192.168.148.203,192.168.148.204,192.168.148.205,192.168.148.228,
13,OL013RE,Qo'yliq,192.168.149,192.168.149.201,192.168.149.202,192.168.149.203,192.168.149.204,192.168.149.205,192.168.149.228,
14,OL014FC,Compass Mall,192.168.145,192.168.145.201,192.168.145.202,192.168.145.203,192.168.145.204,192.168.145.205,192.168.145.228,
15,OL015RE,Namangan 1,192.168.165,192.168.165.201,192.168.165.202,192.168.165.203,192.168.165.204,192.168.165.205,192.168.165.228,
16,OL016RE,Qorasuv 1,192.168.130,192.168.130.201,192.168.130.202,192.168.130.203,192.168.130.204,192.168.130.205,192.168.130.228,
17,OL017RE,Sergeli 2,192.168.147,192.168.147.201,192.168.147.202,192.168.147.203,192.168.147.204,192.168.147.205,192.168.147.228,
18,OL018RE,Olmaliq 1,192.168.166,192.168.166.201,192.168.166.202,192.168.166.203,192.168.166.204,192.168.166.205,192.168.166.228,
19,OL019SS,Westminster,192.168.133,192.168.133.201,192.168.133.202,192.168.133.203,192.168.133.204,192.168.133.205,192.168.133.228,
20,OL020SS,Bodomzor,192.168.135,192.168.135.201,192.168.135.202,192.168.135.203,192.168.135.204,192.168.135.205,192.168.135.228,
21,OL021SS,Ippodrom bozori,192.168.126,192.168.126.201,192.168.126.202,192.168.126.203,192.168.126.204,192.168.126.205,192.168.126.228,
22,OL022SS,Qatortol,192.168.125,192.168.125.201,192.168.125.202,192.168.125.203,192.168.125.204,192.168.125.205,192.168.125.228,
23,OL023SS,Qorasuv 6,192.168.153,192.168.153.201,192.168.153.202,192.168.153.203,192.168.153.204,192.168.153.205,192.168.153.228,
24,OL024SS,Xalqlar do'stligi,192.168.131,192.168.131.201,192.168.131.202,192.168.131.203,192.168.131.204,192.168.131.205,192.168.131.228,
25,OL025SS,Algoritm,192.168.129,192.168.129.201,192.168.129.202,192.168.129.203,192.168.129.204,192.168.129.205,192.168.129.228,
26,OL027SS,Rakat,192.168.137,192.168.137.201,192.168.137.202,192.168.137.203,192.168.137.204,192.168.137.205,192.168.137.228,
27,OL028SS,Lunacharkiy markazi,192.168.151,192.168.151.201,192.168.151.202,192.168.151.203,192.168.151.204,192.168.151.205,192.168.151.228,
28,OL029FC,Magic City,192.168.155,192.168.155.201,192.168.155.202,192.168.155.203,192.168.155.204,192.168.155.205,192.168.155.228,
29,OL030SS,Olmaliq 2,192.168.167,192.168.167.201,192.168.167.202,192.168.167.203,192.168.167.204,192.168.167.205,192.168.167.228,
30,OL031SS,Yangiyo'l 1,192.168.168,192.168.168.201,192.168.168.202,192.168.168.203,192.168.168.204,192.168.168.205,192.168.168.228,
31,OL032SS,Namangan 2,192.168.164,192.168.164.201,192.168.164.202,192.168.164.203,192.168.164.204,192.168.164.205,192.168.164.228,
32,OL033SS,TTZ,192.168.152,192.168.152.201,192.168.152.202,192.168.152.203,192.168.152.204,192.168.152.205,192.168.152.228,
33,OL035SS,Majnuntol,192.168.136,192.168.136.201,192.168.136.202,192.168.136.203,192.168.136.204,192.168.136.205,192.168.136.228,
34,OL036FT,Fud trak,192.168.183,192.168.183.201,192.168.183.202,192.168.183.203,192.168.183.204,192.168.183.205,192.168.183.228,
35,OL037SS,Chilonzor-19,192.168.127,192.168.127.201,192.168.127.202,192.168.127.203,192.168.127.204,192.168.127.205,192.168.127.228,
36,OL038SS,Lisunova,192.168.156,192.168.156.201,192.168.156.202,192.168.156.203,192.168.156.204,192.168.156.205,192.168.156.228,
37,OL039SS,Qo'qon 1,192.168.163,192.168.163.201,192.168.163.202,192.168.163.203,192.168.163.204,192.168.163.205,192.168.163.228,
38,OL040SS,Qo'qon 2,192.168.161,192.168.161.201,192.168.161.202,192.168.161.203,192.168.161.204,192.168.161.205,192.168.161.228,
39,OL041SS,Vodnik,192.168.144,192.168.144.201,192.168.144.202,192.168.144.203,192.168.144.204,192.168.144.205,192.168.144.228,
40,OL042SS,Labzak,192.168.138,192.168.138.201,192.168.138.202,192.168.138.203,192.168.138.204,192.168.138.205,192.168.138.228,
41,OL043SS,Farg'ona 1,192.168.162,192.168.162.201,192.168.162.202,192.168.162.203,192.168.162.204,192.168.162.205,192.168.162.228,
42,OL044FC,Riviera,192.168.139,192.168.139.201,192.168.139.202,192.168.139.203,192.168.139.204,192.168.139.205,192.168.139.228,
43,OL045FC,Navruz mall,192.168.175,192.168.175.201,192.168.175.202,192.168.175.203,192.168.175.204,192.168.175.205,192.168.175.228,
44,OL046FC,Beruniy,192.168.140,192.168.140.201,192.168.140.202,192.168.140.203,192.168.140.204,192.168.140.205,192.168.140.228,
45,OL047SS,Oxunboboyev,192.168.154,192.168.154.201,192.168.154.202,192.168.154.203,192.168.154.204,192.168.154.205,192.168.154.228,
46,OL048SS,Yangihayot 5-bekat,192.168.146,192.168.146.201,192.168.146.202,192.168.146.203,192.168.146.204,192.168.146.205,192.168.146.228,
47,OL049SS,Nukus 1,192.168.179,192.168.179.201,192.168.179.202,192.168.179.203,192.168.179.204,192.168.179.205,192.168.179.228,
48,OL050SS,Farhod bozori,192.168.142,192.168.142.201,192.168.142.202,192.168.142.203,192.168.142.204,192.168.142.205,192.168.142.228,
49,OL051SS,Yangiyo'l 2,192.168.169,192.168.169.201,192.168.169.202,192.168.169.203,192.168.169.204,192.168.169.205,192.168.169.228,
50,OL052SS,Risoviy bozor,192.168.171,192.168.171.201,192.168.171.202,192.168.171.203,192.168.171.204,192.168.171.205,192.168.171.228,
51,OL053SS,Nurafshon,192.168.170,192.168.170.201,192.168.170.202,192.168.170.203,192.168.170.204,192.168.170.205,192.168.170.228,
52,OL054SS,Yunusobod 5-mavze,192.168.177,192.168.177.201,192.168.177.202,192.168.177.203,192.168.177.204,192.168.177.205,192.168.177.228,
53,OL055SS,Chirchiq,192.168.178,192.168.178.201,192.168.178.202,192.168.178.203,192.168.178.204,192.168.178.205,192.168.178.228,
54,OL056FC,Nukus 2,192.168.180,192.168.180.201,192.168.180.202,192.168.180.203,192.168.180.204,192.168.180.205,192.168.180.228,
55,OL057SS,Lisunova 2 Drive,192.168.181,192.168.181.201,192.168.181.202,192.168.181.203,192.168.181.204,192.168.181.205,192.168.181.228,
56,OL058SS,Yangibozor,192.168.182,192.168.182.201,192.168.182.202,192.168.182.203,192.168.182.204,192.168.182.205,192.168.182.228,
