==============================================================================================================
ПРЕФИКС      | НАЗВАНИЕ ФИЛИАЛА               | ПОДСЕТЬ          | КАССЫ (201-205, 228)               
==============================================================================================================
OL001RE      | Oqtepa Maydoni                 | 192.168.118      | 192.168.118.201 ... 192.168.118.228
OL002SS      | Cho'pon ota                    | 192.168.119      | 192.168.119.201 ... 192.168.119.228
OL003SS      | Qutbiniso                      | 192.168.121      | 192.168.121.201 ... 192.168.121.228
OL004SS      | Gulzor                         | 192.168.122      | 192.168.122.201 ... 192.168.122.228
OL005SS      | Vatan                          | 192.168.120      | 192.168.120.201 ... 192.168.120.228
OL006RE      | Chorsu                         | 192.168.132      | 192.168.132.201 ... 192.168.132.228
OL007RE      | Qoraqamish                     | 192.168.123      | 192.168.123.201 ... 192.168.123.228
OL008SS      | Xadra                          | 192.168.115      | 192.168.115.201 ... 192.168.115.228
OL009SS      | Chilonzor metro                | 192.168.124      | 192.168.124.201 ... 192.168.124.228
OL010RE      | Universam                      | 192.168.134      | 192.168.134.201 ... 192.168.134.228
OL011RE      | ToshMI                         | 192.168.117      | 192.168.117.201 ... 192.168.117.228
OL012RE      | Sergeli 8                      | 192.168.148      | 192.168.148.201 ... 192.168.148.228
OL013RE      | Qo'yliq                        | 192.168.149      | 192.168.149.201 ... 192.168.149.228
OL014FC      | Compass Mall                   | 192.168.145      | 192.168.145.201 ... 192.168.145.228
OL015RE      | Namangan 1                     | 192.168.165      | 192.168.165.201 ... 192.168.165.228
OL016RE      | Qorasuv 1                      | 192.168.130      | 192.168.130.201 ... 192.168.130.228
OL017RE      | Sergeli 2                      | 192.168.147      | 192.168.147.201 ... 192.168.147.228
OL018RE      | Olmaliq 1                      | 192.168.166      | 192.168.166.201 ... 192.168.166.228
OL019SS      | Westminster                    | 192.168.133      | 192.168.133.201 ... 192.168.133.228
OL020SS      | Bodomzor                       | 192.168.135      | 192.168.135.201 ... 192.168.135.228
OL021SS      | Ippodrom bozori                | 192.168.126      | 192.168.126.201 ... 192.168.126.228
OL022SS      | Qatortol                       | 192.168.125      | 192.168.125.201 ... 192.168.125.228
OL023SS      | Qorasuv 6                      | 192.168.153      | 192.168.153.201 ... 192.168.153.228
